"age","gender","ownhome","married","location","salary","children","history","catalogs","amountspent"
"Middle","Female","Rent","Single","Close",40888,2,"Low",6,64.8
"Middle","Male","Rent","Single","Close",39569,1,"Low",18,73.2
"Middle","Male","Own","Married","Close",236832,0,"None",12,153.9
"Middle","Female","Own","Married","Close",150909,1,"High",6,210.9
"Young","Male","Rent","Single","Close",451400,1,"None",12,64.7
"Middle","Female","Own","Married","Far",114580,3,"High",18,277.1
"Middle","Female","Rent","Single","Close",52114,3,"Low",24,54
"Old","Female","Rent","Single","Far",25157,0,"Low",6,92.2
"Middle","Male","Own","Single","Far",72432,1,"High",18,114.5
"Old","Female","Own","Married","Close",82278,0,"High",12,204.2
"Old","Male","Rent","Married","Close",65176,0,"Medium",6,105.3
"Young","Male","Own","Single","Close",54573,0,"None",12,64.1
"Middle","Female","Rent","Married","Close",73926,0,"None",6,180
"Middle","Female","Rent","Single","Close",64918,2,"Low",6,29.3
"Middle","Male","Own","Married","Close",90725,0,"High",24,340.1
"Middle","Male","Rent","Single","Close",147122,0,"Medium",12,146
"Young","Female","Rent","Single","Close",634935,0,"Low",12,40.3
"Middle","Male","Own","Single","Close",55936,0,"None",6,79.3
"Old","Male","Own","Married","Close",114187,0,"High",12,192.8
"Middle","Female","Rent","Married","Close",66447,2,"Low",6,72.6
"Old","Female","Own","Married","Far",90044,0,"High",18,334
"Young","Male","Rent","Married","Far",31920,0,"Medium",12,66
"Middle","Male","Own","Married","Close",78410,1,"None",18,221.5
"Middle","Male","Own","Married","Close",112053,0,"None",12,156
"Middle","Female","Own","Married","Close",77532,2,"Medium",18,77.2
"Old","Female","Own","Married","Far",87449,0,"High",18,229.9
"Middle","Female","Own","Single","Far",76084,3,"None",6,108.7
"Young","Female","Rent","Single","Close",24818,1,"Low",6,30.6
"Middle","Female","Own","Married","Close",111096,1,"High",6,187.5
"Middle","Female","Own","Single","Close",131822,2,"Low",12,100.1
"Young","Male","Rent","Single","Close",35447,1,"Low",12,36.1
"Young","Male","Rent","Married","Far",85324,1,"None",6,133.9
"Young","Female","Rent","Single","Close",21657,0,"Low",6,28.1
"Middle","Female","Own","Single","Close",108501,0,"Medium",12,115.1
"Middle","Male","Rent","Single","Close",1564337,0,"Medium",18,152.3
"Middle","Female","Own","Single","Close",67778,2,"Low",6,29.4
"Middle","Male","Rent","Single","Far",188264,0,"High",24,253
"Middle","Female","Rent","Married","Far",92389,1,"High",18,233.4
"Middle","Male","Own","Married","Close",77864,2,"None",12,123.7
"Young","Male","Rent","Married","Close",52248,0,"Medium",18,113.5
"Old","Female","Own","Single","Close",42994,0,"Medium",12,55
"Young","Female","Rent","Single","Close",16125,2,"None",18,46.7
"Middle","Male","Own","Single","Close",69481,0,"None",18,188.5
"Middle","Male","Own","Married","Close",96118,1,"None",18,255.1
"Middle","Female","Own","Married","Far",95781,1,"High",18,282.2
"Middle","Male","Rent","Married","Close",92839,0,"High",18,190.9
"Young","Female","Rent","Single","Close",27734,1,"Low",6,28.6
"Old","Female","Own","Single","Close",32915,0,"Low",6,22.8
"Middle","Female","Rent","Married","Close",91783,2,"None",6,113.8
"Young","Male","Rent","Married","Close",57206,0,"Medium",24,120.8
"Middle","Female","Own","Single","Close",48640,1,"None",18,1000
"Middle","Male","Own","Married","Close",84008,1,"Medium",24,311.7
"Middle","Male","Own","Married","Far",136753,1,"High",24,614.9
"Middle","Male","Own","Single","Close",61806,3,"Low",6,39
"Middle","Male","Own","Married","Close",94847,0,"High",24,219.6
"Middle","Male","Own","Single","Close",110492,0,"Medium",18,170.5
"Young","Female","Rent","Married","Close",89599,0,"None",6,123.8
"Middle","Female","Own","Married","Close",116058,3,"Low",12,46.4
"Young","Male","Rent","Single","Close",49232,0,"None",12,71.2
"Middle","Male","Rent","Single","Close",67166,0,"Medium",12,116.7
"Old","Female","Own","Married","Close",124940,0,"High",18,234.5
"Middle","Female","Own","Married","Close",84576,3,"Low",6,29.1
"Old","Female","Rent","Single","Far",30828,0,"None",24,58
"Middle","Male","Rent","Single","Close",61848,0,"None",18,92.6
"Old","Female","Own","Single","Close",29617,0,"Low",6,30.1
"Young","Male","Rent","Single","Close",30136,0,"Low",12,58.2
"Young","Male","Rent","Married","Close",85785,2,"Low",12,85.8
"Middle","Male","Own","Married","Close",140231,2,"Medium",12,88.6
"Middle","Male","Own","Married","Close",147166,2,"Medium",24,218.1
"Old","Male","Own","Single","Close",67646,0,"None",24,156
"Middle","Female","Own","Married","Close",99602,2,"Medium",6,59.1
"Middle","Male","Own","Married","Close",75740,1,"Medium",18,151.6
"Middle","Male","Own","Single","Close",78541,2,"Medium",24,103
"Old","Female","Own","Married","Close",82003,0,"High",6,82.4
"Old","Female","Rent","Single","Close",28699,0,"Low",6,61.8
"Old","Male","Rent","Single","Close",38378,1,"Low",12,58.9
"Middle","Female","Own","Married","Close",72571,3,"None",24,222.5
"Old","Female","Own","Single","Close",30145,0,"Low",6,81.1
"Middle","Male","Own","Married","Close",77672,3,"Low",12,34.6
"Old","Female","Rent","Married","Far",166508,0,"High",24,317
"Young","Female","Rent","Single","Close",40814,2,"None",6,33.7
"Young","Male","Rent","Married","Close",61700,0,"None",24,171.5
"Old","Female","Own","Single","Far",45281,0,"Medium",12,86.1
"Young","Female","Rent","Single","Close",25831,2,"Low",18,23.4
"Young","Female","Rent","Single","Close",39989,2,"Low",24,33.2
"Middle","Female","Rent","Married","Close",78859,0,"High",24,335.1
"Middle","Male","Own","Single","Far",74495,0,"High",18,185.8
"Young","Female","Rent","Single","Close",31042,3,"Low",6,23.9
"Old","Male","Own","Married","Close",53792,0,"Medium",24,181
"Young","Female","Own","Single","Close",21994,0,"Low",6,39.7
"Middle","Male","Own","Married","Close",147243,3,"Medium",12,107.5
"Middle","Male","Own","Married","Close",97892,0,"High",24,381.6
"Old","Male","Own","Married","Close",10336441,0,"High",24,296.1
"Young","Male","Rent","Single","Far",63486,0,"None",6,36.3
"Middle","Male","Own","Married","Close",111254,0,"High",12,165.7
"Young","Female","Rent","Single","Close",20653,2,"None",12,39.5
"Young","Male","Rent","Single","Close",59857,1,"Low",12,44.1
"Middle","Male","Own","Married","Close",113075,1,"High",18,133.5
"Young","Male","Rent","Single","Far",38645,1,"None",18,104.7
"Young","Male","Rent","Single","Far",143137,1,"Low",12,49.1
"Middle","Female","Rent","Single","Close",67923,1,"Medium",12,100.9
"Middle","Female","Rent","Single","Close",48603,3,"Low",18,55.8
"Middle","Male","Own","Married","Close",116063,3,"Low",12,76.8
"Young","Male","Rent","Single","Close",28079,0,"None",12,6897
"Young","Male","Rent","Single","Close",44559,2,"Low",12,26.5
"Old","Male","Own","Single","Close",710905,0,"None",6,122
"Old","Female","Rent","Married","Close",43563,0,"Medium",6,59.5
"Middle","Female","Rent","Single","Close",45286,1,"Low",12,66.6
"Young","Female","Own","Single","Close",28093,2,"None",12,65.9
"Old","Female","Own","Married","Close",72537,0,"High",24,159.5
"Middle","Female","Own","Married","Close",104232,1,"High",12,134.1
"Middle","Male","Rent","Married","Far",68676,0,"High",18,253.9
"Young","Female","Own","Single","Far",44365,0,"None",12,109.9
"Middle","Female","Rent","Single","Far",114127,1,"None",18,238.1
"Old","Female","Own","Single","Close",34326,0,"None",12,31.4
"Old","Female","Own","Married","Far",27083,2,"Low",12,24.9
"Middle","Male","Rent","Single","Close",55870,3,"Low",6,32.6
"Young","Female","Rent","Single","Close",41908,3,"Low",6,13
"Young","Female","Rent","Single","Close",35686,1,"Low",18,28
"Old","Female","Own","Single","Close",40065,0,"Low",6,49.4
"Middle","Male","Own","Married","Close",103202,3,"None",24,280.5
"Middle","Female","Rent","Single","Close",42904,1,"Low",6,45.1
"Old","Female","Own","Single","Close",28045,0,"Low",6,199.1
"Young","Male","Rent","Married","Close",53529,0,"None",24,127.3
"Middle","Male","Own","Married","Close",98334,2,"Medium",6,108.3
"Middle","Male","Own","Married","Far",99091,2,"High",24,285.2
"Old","Female","Own","Married","Close",60254,0,"Medium",24,152.5
"Middle","Male","Own","Single","Close",84916,2,"None",18,287.3
"Young","Female","Rent","Single","Close",30482,2,"Low",18,1000
"Middle","Female","Own","Married","Close",77294,1,"Medium",12,86.4
"Middle","Male","Own","Single","Close",62907,0,"Medium",12,105.4
"Middle","Female","Own","Married","Close",94030,1,"None",18,167.8
"Middle","Male","Own","Married","Far",173292,3,"High",24,293
"Old","Female","Own","Single","Close",108042,0,"None",6,70.7
"Young","Female","Rent","Married","Close",83738,3,"Low",12,48.8
"Old","Female","Own","Married","Close",72103,0,"None",18,193
"Old","Male","Own","Single","Close",49964,0,"None",24,157.4
"Middle","Male","Own","Married","Far",108232,0,"None",18,318.8
"Middle","Male","Own","Single","Close",94148,0,"None",6,139.6
"Middle","Female","Own","Married","Close",80908,0,"None",12,162
"Young","Female","Rent","Married","Far",61108,0,"High",24,255.8
"Middle","Male","Own","Single","Close",82267,0,"High",18,149.7
"Old","Female","Own","Married","Close",222902,0,"High",12,159.8
"Young","Female","Rent","Single","Far",43574,2,"Low",12,39.1
"Young","Female","Rent","Married","Close",126927,1,"Medium",6,71.1
"Middle","Female","Rent","Single","Far",63176,0,"High",12,138.8
"Young","Male","Own","Married","Close",78329,0,"None",6,176.2
"Young","Male","Own","Single","Close",35113,3,"None",12,68.3
"Middle","Male","Rent","Married","Close",104373,1,"None",6,177
"Old","Female","Rent","Single","Far",18993,0,"Low",6,25.8
"Young","Male","Rent","Married","Close",69729,3,"Low",6,31
"Middle","Male","Own","Married","Close",82163,2,"Medium",6,74.4
"Young","Female","Own","Single","Close",39139,3,"None",12,82.2
"Old","Male","Rent","Married","Close",117693,0,"High",6,98.4
"Old","Female","Rent","Married","Close",48225,0,"Medium",18,187.1
"Old","Female","Own","Married","Close",56742,0,"Medium",12,121
"Middle","Male","Rent","Single","Close",125405,1,"Medium",12,119.6
"Young","Male","Rent","Single","Close",34690,2,"Low",12,27
"Young","Male","Rent","Single","Close",23682,0,"None",6,34.8
"Middle","Male","Rent","Married","Far",99786,1,"High",24,251.4
"Middle","Male","Own","Married","Close",105828,0,"High",24,344.6
"Young","Male","Rent","Single","Close",23242,0,"Low",18,186.2
"Young","Female","Rent","Married","Far",57584,1,"Medium",12,133.4
"Middle","Male","Own","Married","Close",118541,1,"High",24,197.1
"Middle","Male","Own","Married","Close",66870,3,"Low",12,55.6
"Middle","Female","Own","Single","Close",49375,1,"None",24,143.8
"Middle","Male","Rent","Married","Close",128836,3,"Low",12,54.8
"Young","Male","Rent","Single","Close",24042,0,"Low",12,43.6
"Middle","Male","Rent","Single","Far",55688,1,"None",6,150.4
"Old","Female","Own","Single","Close",108085,0,"Medium",18,149.2
"Young","Female","Rent","Single","Far",28619,2,"Low",12,28.7
"Middle","Female","Own","Married","Close",81240,1,"None",6,72.7
"Young","Female","Rent","Single","Far",27354,1,"Low",12,152.1
"Middle","Male","Rent","Married","Close",81925,3,"Low",6,28.3
"Middle","Male","Rent","Single","Close",75690,0,"High",6,85.5
"Young","Female","Rent","Single","Far",21583,1,"None",18,42.6
"Middle","Female","Rent","Married","Close",102860,3,"Low",6,46.6
"Old","Female","Own","Married","Far",66687,0,"Medium",18,196.1
"Old","Female","Own","Single","Close",40149,0,"Low",6,527.3
"Young","Female","Rent","Single","Close",1075393,0,"None",6,33.8
"Young","Male","Rent","Single","Close",24467,0,"Low",12,35.4
"Middle","Male","Own","Married","Close",120060,1,"High",24,245.2
"Young","Female","Rent","Single","Far",34925,0,"Medium",24,99.7
"Middle","Male","Rent","Married","Close",44446,2,"Low",6,34.1
"Middle","Male","Rent","Single","Close",60947,0,"None",18,147.1
"Old","Male","Own","Married","Close",117237,0,"None",18,244.2
"Young","Female","Rent","Single","Close",28710,1,"Low",6,42.4
"Middle","Male","Own","Single","Close",76042,3,"None",12,142.7
"Young","Male","Rent","Single","Close",28193,0,"None",12,75.3
"Young","Female","Rent","Single","Close",27231,2,"None",6,46.4
"Young","Male","Rent","Single","Close",51588,1,"Low",24,61.2
"Middle","Male","Own","Married","Close",70740,2,"Medium",12,67.4
"Middle","Male","Rent","Single","Close",85968,0,"Medium",6,115.6
"Middle","Male","Own","Married","Far",95832,0,"High",24,526.8
"Young","Female","Rent","Single","Far",38925,1,"None",12,52.2
"Middle","Male","Own","Married","Close",2118620,0,"High",24,165.5
"Middle","Female","Rent","Single","Far",41753,3,"None",24,149.3
"Young","Female","Rent","Single","Close",54583,1,"None",6,45.4
"Middle","Male","Own","Single","Close",64578,3,"Low",18,49
"Middle","Female","Rent","Single","Close",66677,1,"Medium",6,83.5
"Young","Female","Own","Married","Far",60986,1,"None",6,84.2
"Young","Female","Rent","Single","Far",41084,2,"None",24,60.3
"Old","Female","Own","Married","Far",89627,0,"High",24,402.5
"Old","Female","Own","Married","Close",111783,0,"High",6,96.8
"Middle","Female","Own","Married","Close",100762,1,"None",12,157.5
"Middle","Male","Own","Married","Far",73576,3,"None",6,101.2
"Middle","Male","Own","Single","Close",136243,0,"High",12,122.8
"Young","Male","Rent","Married","Far",73474,3,"None",6,149.5
"Young","Male","Rent","Married","Far",57402,0,"None",12,171.9
"Young","Male","Rent","Married","Far",60507,0,"None",12,330.9
"Middle","Female","Own","Single","Close",59727,2,"Low",6,86.5
"Young","Female","Own","Single","Close",27554,1,"Low",12,41.2
"Young","Female","Own","Single","Far",49977,0,"None",12,41.6
"Middle","Male","Own","Married","Close",105854,2,"Medium",12,123.3
"Old","Female","Rent","Single","Far",23483,0,"Low",6,76.6
"Young","Female","Rent","Single","Close",18647,3,"None",12,31.7
"Young","Female","Rent","Single","Close",17109,2,"Low",12,1180
"Middle","Female","Own","Single","Close",56907,1,"None",18,167.7
"Young","Female","Own","Single","Close",40504,2,"Low",18,166.9
"Middle","Male","Own","Married","Close",126099,1,"None",12,255.9
"Young","Female","Own","Single","Far",40494,1,"None",12,74.1
"Old","Male","Rent","Married","Far",192879,0,"None",12,49.1
"Middle","Male","Own","Married","Close",107801,1,"High",24,232.2
"Middle","Female","Rent","Married","Far",196526,3,"Medium",24,79.4
"Middle","Male","Own","Married","Close",82545,1,"None",12,176.1
"Middle","Female","Own","Married","Close",58600,2,"Low",18,67.5
"Middle","Female","Rent","Married","Close",351987,2,"Medium",12,118.1
"Middle","Male","Rent","Single","Close",56624,0,"Medium",12,91.4
"Young","Male","Rent","Single","Close",52764,0,"Low",18,119.7
"Middle","Female","Own","Single","Close",73300,2,"None",12,140.1
"Middle","Female","Own","Married","Close",92617,2,"Medium",18,94.9
"Young","Female","Rent","Single","Far",21716,3,"Low",18,26.6
"Middle","Female","Own","Married","Close",119904,1,"None",12,241.9
"Middle","Female","Rent","Single","Close",63963,1,"Low",24,69.4
"Young","Male","Rent","Single","Far",19290,0,"Low",24,56.7
"Middle","Male","Own","Married","Close",88682,3,"None",18,226.2
"Young","Female","Rent","Single","Close",24261,1,"Low",12,30.9
"Middle","Male","Rent","Single","Close",66483,0,"Medium",24,124.2
"Old","Female","Own","Married","Close",57709,1,"Medium",12,72.7
"Middle","Male","Rent","Married","Far",73605,2,"None",24,306.9
"Middle","Female","Own","Single","Close",52939,0,"None",24,155.2
"Old","Female","Own","Married","Far",76051,0,"Medium",12,145.1
"Old","Male","Own","Married","Close",94158,0,"None",12,161.8
"Old","Male","Rent","Married","Close",41459,0,"Medium",12,107.8
"Young","Female","Rent","Married","Close",78295,1,"None",18,167.8
"Old","Female","Own","Married","Far",90107,0,"None",12,214
"Middle","Male","Rent","Single","Close",84155,0,"Medium",24,180.3
"Young","Male","Rent","Married","Close",51843,0,"Medium",18,110.2
"Old","Female","Own","Single","Close",231161,0,"Low",18,112.6
"Young","Female","Rent","Single","Close",25273,1,"Low",12,39.9
"Old","Male","Own","Married","Far",91925,0,"High",24,274.8
"Old","Female","Rent","Single","Close",60535,0,"Medium",24,98.1
"Middle","Male","Own","Married","Close",114896,0,"High",24,282.6
"Middle","Female","Own","Single","Far",333067,2,"Medium",12,142.5
"Middle","Female","Rent","Single","Far",43883,2,"None",12,125.9
"Young","Female","Rent","Single","Close",76779,2,"Low",12,23.6
"Middle","Male","Own","Married","Close",80485,1,"None",12,162.6
"Young","Male","Rent","Married","Close",60457,1,"Medium",18,112.1
"Middle","Male","Rent","Single","Close",63753,0,"Medium",24,142.3
"Middle","Male","Rent","Single","Far",65002,2,"None",6,170.2
"Middle","Male","Rent","Single","Far",60247,0,"High",12,187.9
"Middle","Female","Own","Married","Close",136655,3,"None",6,292
"Middle","Male","Rent","Single","Far",59126,0,"High",24,215.1
"Young","Male","Rent","Married","Close",44200,1,"Low",6,39.3
"Young","Male","Rent","Single","Far",29970,1,"None",12,87.6
"Young","Male","Rent","Married","Close",71350,3,"Low",12,43.5
"Young","Female","Rent","Single","Far",23635,1,"None",24,44.6
"Young","Female","Rent","Single","Close",65157,2,"Low",18,22.3
"Old","Female","Own","Single","Far",42684,0,"Medium",24,99
"Old","Male","Own","Single","Close",59618,0,"Medium",6,75.1
"Young","Female","Rent","Single","Close",45475,3,"None",6,23.7
"Middle","Male","Rent","Single","Close",71832,0,"None",12,208.7
"Middle","Male","Rent","Single","Far",44437,1,"Medium",18,145.1
"Middle","Female","Rent","Single","Far",99279,1,"Medium",18,176.6
"Middle","Male","Own","Married","Far",86334,1,"High",6,197
"Young","Female","Rent","Single","Close",29729,3,"None",6,71.5
"Middle","Male","Rent","Single","Close",60439,2,"None",6,133.5
"Old","Female","Own","Married","Far",76521,0,"High",18,267.9
"Middle","Male","Own","Married","Close",113974,2,"Medium",24,133.3
"Middle","Female","Rent","Married","Close",117385,1,"None",24,128.6
"Young","Male","Rent","Single","Close",15559,0,"None",24,48.2
"Young","Female","Own","Single","Far",73163,1,"Medium",12,1499.6
"Middle","Female","Rent","Single","Close",226477,1,"Low",12,50.1
"Middle","Male","Rent","Married","Far",77830,3,"Medium",18,186.3
"Middle","Male","Rent","Single","Far",115595,1,"Medium",24,143.4
"Old","Male","Own","Married","Far",80780,0,"None",18,154
"Middle","Female","Own","Single","Close",65899,1,"None",12,195.4
"Old","Male","Rent","Single","Close",41698,0,"Medium",24,85
"Old","Female","Own","Married","Close",97556,0,"High",18,165.1
"Young","Male","Rent","Single","Far",23686,1,"None",12,170.8
"Middle","Male","Own","Married","Close",111767,0,"None",12,182.4
"Young","Female","Rent","Married","Close",169984,3,"Low",6,41.5
"Middle","Male","Rent","Married","Close",123868,0,"High",12,269.7
"Young","Female","Own","Single","Far",36683,2,"Low",24,61
"Middle","Male","Rent","Single","Close",104769,1,"None",6,47.2
"Middle","Male","Rent","Single","Close",52482,0,"Medium",12,85.6
"Young","Female","Rent","Married","Close",65403,2,"Low",24,75.9
"Middle","Female","Rent","Single","Close",34325,1,"Low",6,34.8
"Middle","Male","Rent","Married","Close",89573,2,"Medium",18,89.6
"Middle","Male","Own","Married","Close",128485,1,"None",18,505.4
"Young","Female","Rent","Single","Close",19726,2,"Low",18,30.2
"Middle","Male","Own","Married","Far",87532,0,"None",18,252.1
"Middle","Male","Own","Single","Close",73867,0,"None",24,263.5
"Young","Male","Rent","Single","Far",28336,0,"Low",6,64.9
"Middle","Female","Rent","Single","Close",101367,0,"None",12,61.7
"Middle","Male","Own","Married","Far",85134,1,"High",24,347.4
"Middle","Male","Own","Single","Close",57948,2,"Low",12,51.4
"Old","Female","Own","Married","Close",63413,0,"Medium",6,74.8
"Old","Male","Own","Married","Far",99804,0,"High",24,210.2
"Old","Female","Rent","Single","Close",46017,0,"Medium",12,65.4
"Middle","Female","Own","Single","Far",68004,1,"High",18,169.3
"Young","Female","Rent","Single","Close",39899,2,"None",6,58.6
"Young","Male","Rent","Single","Far",32828,0,"Medium",18,100.5
"Old","Female","Own","Married","Close",33106,0,"Low",18,54.1
"Old","Female","Rent","Married","Close",75221,0,"High",18,181.9
"Young","Female","Rent","Single","Far",36150,2,"Low",12,58.3
"Middle","Female","Rent","Married","Close",71447,0,"Medium",24,166.6
"Old","Female","Own","Married","Close",137153,0,"High",12,203.9
"Old","Male","Own","Married","Close",133032,0,"High",18,416.8
"Middle","Female","Own","Single","Close",83449,0,"None",18,381.7
"Middle","Male","Rent","Single","Close",121737,1,"Low",6,55.3
"Old","Female","Rent","Single","Close",25286,0,"None",12,33.5
"Middle","Male","Rent","Single","Close",115793,0,"High",12,162.4
"Middle","Male","Own","Married","Close",123208,0,"High",18,185.5
"Young","Male","Rent","Married","Close",46986,3,"None",24,186.4
"Middle","Female","Own","Married","Close",78665,2,"None",12,157.1
"Young","Male","Own","Married","Close",72489,0,"High",24,148.8
"Old","Female","Own","Single","Close",41393,0,"None",12,166.2
"Young","Male","Rent","Single","Close",38653,0,"Low",12,38.5
"Young","Female","Rent","Married","Close",43334,1,"None",18,162.9
"Middle","Female","Own","Married","Close",104662,1,"High",12,193.2
"Old","Female","Rent","Married","Close",44542,0,"Medium",12,123.4
"Old","Male","Own","Married","Close",111312,0,"None",12,484
"Old","Female","Own","Married","Close",116450,0,"High",12,266.1
"Young","Male","Rent","Single","Far",27808,0,"Low",18,101.1
"Young","Female","Rent","Married","Far",45295,1,"None",24,170.6
"Middle","Female","Own","Single","Close",61365,0,"Medium",12,112.9
"Old","Male","Rent","Single","Close",49581,0,"Medium",18,101.4
"Middle","Female","Rent","Married","Close",146662,1,"High",24,283
"Young","Female","Rent","Single","Far",26902,1,"Low",12,72.3
"Middle","Male","Rent","Married","Far",90441,2,"High",24,224
"Middle","Female","Rent","Married","Close",130124,2,"Medium",24,102.1
"Middle","Female","Rent","Married","Close",85836,1,"Medium",12,122.7
"Old","Female","Rent","Single","Far",24925,0,"Low",6,60.9
"Middle","Female","Rent","Single","Close",40348,0,"None",18,153.2
"Old","Male","Own","Married","Far",57302,0,"High",18,263.1
"Young","Male","Rent","Single","Close",40515,1,"None",12,242.6
"Middle","Male","Own","Single","Close",70188,0,"None",6,144.9
"Old","Female","Own","Married","Close",34612,0,"Low",18,573.4
"Middle","Male","Rent","Married","Close",73068,2,"Medium",18,71.3
"Old","Female","Rent","Single","Close",16745,0,"None",24,39.7
"Old","Female","Rent","Married","Close",80390,0,"High",12,102.7
"Middle","Female","Own","Married","Close",113496,1,"High",12,128.4
"Middle","Male","Own","Married","Close",112679,2,"Medium",18,173.8
"Middle","Female","Rent","Married","Close",92849,0,"High",12,170.9
"Middle","Female","Rent","Married","Close",100970,0,"None",24,324.8
"Middle","Male","Rent","Single","Close",58819,1,"Medium",18,116.9
"Middle","Male","Own","Married","Close",104434,0,"High",18,220.7
"Old","Female","Own","Married","Close",128897,0,"High",12,152.8
"Young","Male","Rent","Single","Close",23635,0,"None",18,50.5
"Middle","Male","Own","Married","Close",58702,0,"Medium",6,60.8
"Middle","Male","Own","Single","Far",77495,0,"High",24,1000
"Middle","Female","Rent","Single","Close",19062713,3,"Low",24,1000
"Young","Female","Rent","Single","Close",30762,1,"Low",6,28.1
"Young","Male","Rent","Single","Close",23111,3,"Low",6,145.9
"Middle","Female","Rent","Single","Close",260930,3,"Low",24,30.7
"Old","Female","Own","Married","Close",41687,0,"Low",24,158.5
"Old","Male","Own","Single","Far",67654,0,"High",6,110
"Middle","Female","Own","Married","Close",105923,3,"None",24,296.9
"Middle","Male","Own","Married","Close",122986,2,"Medium",12,103.9
"Old","Male","Own","Married","Close",98024,0,"High",24,329
"Young","Female","Rent","Single","Far",39711,0,"Low",6,31.5
"Old","Female","Own","Single","Close",19280,2,"Low",6,17.7
"Middle","Female","Own","Married","Far",97574,3,"Medium",12,93.3
"Middle","Female","Rent","Married","Far",140143,1,"None",6,238.4
"Old","Female","Rent","Married","Close",301044,0,"High",24,210.7
"Middle","Male","Own","Married","Far",114437,3,"None",12,343.5
"Young","Female","Own","Single","Close",38613,3,"Low",12,34
"Middle","Male","Own","Married","Close",82435,2,"Medium",12,90.3
"Old","Female","Rent","Single","Close",68909,0,"Low",12,187.4
"Young","Female","Rent","Single","Far",18178,1,"Low",6,22.2
"Middle","Male","Rent","Married","Close",167321,1,"High",12,216.1
"Middle","Female","Own","Married","Close",81319,1,"Medium",18,139.3
"Middle","Female","Rent","Single","Close",94354,1,"Medium",24,236.9
"Young","Female","Rent","Single","Close",17417,1,"None",12,29.3
"Middle","Male","Own","Married","Far",149517,0,"High",18,364.8
"Middle","Male","Own","Married","Far",86396,0,"High",6,196.2
"Old","Female","Own","Single","Far",47773,2,"Medium",6,76
"Young","Female","Rent","Married","Close",64194,1,"Medium",6,128.3
"Middle","Male","Own","Single","Far",85740,1,"High",12,249.2
"Middle","Male","Rent","Single","Close",56284,0,"None",6,100.9
"Young","Female","Rent","Single","Close",15933,2,"None",24,164
"Young","Female","Rent","Married","Close",84344,0,"None",12,229.1
"Middle","Female","Rent","Married","Close",100318,1,"High",24,157.6
"Middle","Male","Rent","Single","Far",119578,0,"High",18,169.9
"Middle","Female","Own","Married","Close",132129,1,"High",18,146.6
"Middle","Male","Own","Single","Close",78811,0,"None",12,112.3
"Middle","Male","Own","Married","Close",118420,1,"High",6,93.8
"Middle","Female","Own","Married","Close",88488,3,"Low",12,36.2
"Old","Female","Rent","Married","Close",78813,0,"Medium",12,72.7
"Old","Female","Own","Single","Far",25170,0,"Low",6,65.1
"Old","Female","Own","Married","Close",133823,0,"Medium",12,115.6
"Middle","Male","Own","Single","Far",78489,2,"Medium",18,108.7
"Middle","Male","Own","Single","Far",66613,2,"High",24,135
"Middle","Female","Own","Married","Close",89964,1,"None",18,214.8
"Young","Male","Rent","Single","Far",221789,0,"None",24,68.4
"Young","Female","Rent","Single","Close",31015,1,"None",12,39.1
"Middle","Male","Rent","Single","Far",61265,0,"High",24,209.8
"Middle","Male","Own","Single","Close",87123,1,"Medium",18,122
"Middle","Male","Own","Single","Far",71295,0,"High",12,232.8
"Middle","Male","Rent","Single","Close",1723968,2,"Low",18,187.3
"Old","Female","Own","Single","Close",134096,0,"Medium",24,112.9
"Middle","Female","Rent","Single","Far",65013,2,"Medium",12,138.9
"Middle","Male","Own","Married","Close",895737,1,"High",12,238
"Young","Female","Rent","Married","Close",56831,0,"None",6,70.3
"Middle","Male","Rent","Married","Close",98910,1,"High",24,312.1
"Young","Female","Own","Single","Far",45489,1,"None",24,141.6
"Young","Female","Own","Single","Close",57372,1,"Medium",6,62.2
"Old","Female","Own","Married","Close",111603,0,"High",18,247.7
"Middle","Male","Own","Married","Close",71564,2,"Medium",6,72.9
"Middle","Male","Own","Single","Far",80558,0,"High",24,280.2
"Middle","Male","Own","Married","Close",117958,0,"High",6,165.9
"Old","Female","Own","Married","Close",123790,3,"Low",12,63.5
"Young","Male","Rent","Married","Close",83669,1,"Medium",12,164.5
"Old","Male","Own","Single","Close",71948,0,"Medium",12,109.2
"Middle","Female","Rent","Married","Close",101273,3,"Low",6,543.2
"Middle","Male","Own","Married","Close",121905,0,"High",18,293.6
"Middle","Male","Rent","Single","Close",53058,0,"None",18,184.1
"Old","Female","Own","Married","Close",185273,0,"None",24,100.8
"Middle","Male","Rent","Married","Far",83919,1,"None",24,222.5
"Middle","Male","Own","Married","Close",97471,1,"Medium",6,90.7
"Middle","Female","Own","Single","Far",33122,1,"None",6,66.2
"Old","Male","Own","Married","Close",123466,1,"High",24,302.9
"Young","Female","Rent","Single","Close",22462,0,"None",18,46.5
"Middle","Female","Own","Single","Close",101959,3,"Low",6,21.2
"Young","Male","Own","Single","Close",36204,0,"None",24,101.6
"Young","Male","Rent","Single","Close",81903,0,"Low",12,144.1
"Middle","Female","Own","Married","Close",95432,1,"High",18,209.8
"Young","Female","Rent","Single","Close",24689,0,"Low",18,350.1
"Middle","Male","Own","Married","Close",90132,2,"Medium",6,85.8
"Young","Female","Own","Married","Close",87737,1,"None",18,152
"Old","Male","Own","Single","Close",45719,2,"None",18,135.8
"Young","Female","Rent","Single","Far",63975,0,"Low",6,48.7
