"Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","Segmentation"
"Female","No",35,"Yes","Artist",0,"Low",1,"A"
"Male","No",48,"Yes","Healthcare",1,"Low",2,"B"
"Male","No",29,"No","Healthcare",9,"Low",4,"B"
"Male","Yes",36,"No","Engineer",0,"Low",1,"B"
"Male","No",20,"No","Healthcare",0,"Low",4,"B"
"Male","Yes",42,"No","Executive",3,"High",3,"A"
"Female","Yes",35,"Yes","Entertainment",1,"Low",1,"B"
"Male","Yes",30,"No","Artist",9,"High",6,"A"
"Female","No",23,"No","Healthcare",1,"Low",3,"B"
"Female","No",36,"Yes","Homemaker",9,"Low",1,"A"
"Male","No",29,"No","Entertainment",0,"Low",3,"B"
"Male","No",27,"Yes","Doctor",1,"Low",6,"B"
"Male","No",40,"Yes","Artist",1,"Low",1,"A"
"Male","No",37,"Yes","Entertainment",6,"Low",4,"A"
"Male","No",19,"No","Healthcare",0,"Low",5,"B"
"Male","No",29,"Yes","Healthcare",0,"Low",4,"B"
"Male","No",25,"Yes","Healthcare",0,"Low",NA,"B"
"Female","No",26,"No","Engineer",4,"Low",1,"A"
"Female","No",30,"Yes","Healthcare",0,"Low",4,"B"
"Male","No",30,"No","Entertainment",1,"Low",2,"B"
"Male","Yes",57,"Yes","Artist",0,"Low",1,"A"
"Male","No",27,"Yes","Healthcare",8,"Low",4,"B"
"Male","No",21,"No","Healthcare",0,"Low",6,"B"
"Female","No",39,"Yes","Entertainment",8,"Low",4,"B"
"Female","Yes",87,"Yes","Lawyer",1,"High",2,"A"
"Male","No",32,"Yes","Marketing",8,"Low",1,"B"
"Male","Yes",40,"No","Executive",7,"Low",4,"A"
"Male","No",19,"No","Healthcare",NA,"Low",5,"B"
"Female","No",31,"Yes","Marketing",0,"Low",9,"B"
"Female","Yes",43,"No","Engineer",NA,"Average",2,"B"
"Male","Yes",47,"No","",1,"Low",5,"A"
"Male","No",35,"No","Marketing",0,"Low",4,"B"
"Male","Yes",69,"Yes","Artist",1,"Low",2,"A"
"Male","Yes",38,"Yes","Artist",0,"Low",4,"A"
"Female","No",23,"No","Healthcare",2,"Low",5,"B"
"Female","Yes",58,"No","Engineer",0,"Average",6,"A"
"Male","Yes",84,"Yes","Entertainment",0,"High",2,"B"
"Female","No",22,"No","Healthcare",1,"Low",2,"B"
"Male","No",30,"No","Executive",NA,"Low",4,"B"
"Male","No",23,"No","Healthcare",0,"Low",2,"B"
"Female","No",41,"Yes","Artist",3,"Low",3,"B"
"Male","Yes",50,"Yes","Executive",0,"High",4,"A"
"Female","No",28,"Yes","Homemaker",8,"Low",1,"B"
"Male","No",19,"No","Healthcare",NA,"Low",6,"B"
"Female","No",30,"Yes","Healthcare",NA,"Low",5,"A"
"Male","Yes",73,"No","Executive",1,"High",2,"B"
"Female","No",19,"No","Healthcare",0,"Low",NA,"B"
"Male","Yes",51,"Yes","",1,"Low",2,"B"
"Male","No",43,"Yes","Doctor",1,"Low",4,"A"
"Male","No",18,"No","Healthcare",8,"Low",9,"B"
"Male","No",28,"Yes","Artist",9,"Low",1,"A"
"Female","Yes",27,"Yes","Marketing",11,"Average",2,"A"
"Male","Yes",70,"Yes","Lawyer",0,"High",3,"A"
"Female","No",26,"Yes","Healthcare",10,"Low",1,"B"
"Male","Yes",36,"No","Entertainment",1,"Low",2,"A"
"Male","No",28,"No","Entertainment",9,"Low",2,"A"
"Male","No",20,"No","Marketing",1,"Low",3,"B"
"Male","No",41,"Yes","Entertainment",8,"Low",2,"A"
"Female","No",40,"Yes","Doctor",1,"Low",1,"A"
"Male","Yes",40,"Yes","Entertainment",2,"Average",5,"A"
"Female","Yes",53,"No","Engineer",0,"Average",3,"A"
"Male","Yes",60,"Yes","Artist",1,"Low",2,"A"
"Female","No",27,"Yes","Artist",8,"Low",1,"A"
"Male","Yes",70,"No","Doctor",1,"High",2,"B"
"Female","Yes",38,"Yes","Entertainment",NA,"Average",2,"A"
"Female","No",40,"Yes","Engineer",6,"Low",3,"B"
"Male","Yes",88,"No","Executive",NA,"Low",NA,"B"
"Female","No",29,"Yes","Healthcare",1,"Low",4,"B"
"Male","Yes",27,"Yes","Executive",NA,"High",2,"A"
"Male","Yes",82,"Yes","Lawyer",1,"Low",1,"A"
"Male","No",47,"Yes","Artist",0,"Low",1,"A"
"Male","Yes",75,"Yes","Lawyer",0,"High",2,"A"
"Female","Yes",37,"No","Marketing",0,"Low",4,"B"
"Male","Yes",84,"No","Lawyer",1,"High",2,"A"
"Female","No",42,"Yes","Entertainment",6,"Low",2,"A"
"Male","Yes",39,"Yes","Doctor",0,"Average",2,"B"
"Female","Yes",40,"Yes","Artist",1,"Average",2,"A"
"Male","No",31,"Yes","Entertainment",0,"Low",4,"B"
"Male","Yes",37,"Yes","Marketing",1,"Low",2,"B"
"Male","No",27,"Yes","Artist",3,"Low",1,"A"
"Male","No",31,"No","Healthcare",0,"Low",4,"B"
"Male","Yes",88,"No","Executive",0,"High",3,"B"
"Female","No",51,"Yes","Entertainment",4,"Low",1,"A"
"Male","Yes",38,"Yes","Entertainment",NA,"Low",2,"B"
"Male","Yes",55,"No","Executive",0,"Low",2,"A"
"Male","No",35,"Yes","Artist",4,"Low",2,"A"
"Female","Yes",25,"No","Engineer",1,"Average",2,"A"
"Female","No",32,"Yes","Doctor",1,"Low",6,"B"
"Female","Yes",53,"No","Entertainment",9,"High",2,"A"
"Female","Yes",31,"No","Engineer",9,"Low",4,"A"
"Male","No",42,"Yes","Entertainment",1,"Low",1,"A"
"Male","No",20,"No","Healthcare",1,"Low",5,"B"
"Male","Yes",50,"Yes","Entertainment",1,"Low",2,"A"
"Male","No",30,"Yes","Doctor",0,"Low",2,"A"
"Male","Yes",84,"No","Lawyer",0,"Low",1,"B"
"Female","No",37,"Yes","Homemaker",NA,"Low",1,"B"
"Female","No",38,"Yes","Healthcare",0,"Low",2,"B"
"Male","No",20,"No","Healthcare",0,"Low",4,"B"
"Female","No",25,"No","Healthcare",14,"Low",3,"B"
"Female","No",33,"Yes","Doctor",0,"Low",5,"B"
"Female","No",31,"No","Engineer",0,"Low",1,"B"
"Male","No",21,"No","Homemaker",0,"Low",4,"A"
"Male","Yes",27,"Yes","Doctor",0,"Average",2,"B"
"Female","Yes",35,"Yes","Homemaker",NA,"Low",NA,"B"
"Female","Yes",53,"No","Artist",1,"High",4,"A"
"Male","Yes",80,"No","Lawyer",8,"Low",1,"B"
"Female","No",41,"Yes","Doctor",9,"Low",1,"A"
"Male","No",30,"No","Engineer",9,"Low",3,"B"
"Male","Yes",85,"Yes","Executive",1,"High",2,"B"
"Male","Yes",48,"Yes","Doctor",NA,"Low",2,"A"
"Male","No",33,"Yes","Artist",8,"Low",NA,"A"
"Female","Yes",35,"Yes","Doctor",0,"Average",3,"A"
"Male","No",26,"Yes","Entertainment",1,"Low",3,"B"
"Female","Yes",39,"Yes","Homemaker",NA,"Average",3,"A"
"Male","No",21,"No","Healthcare",0,"Low",2,"B"
"Male","Yes",39,"No","Entertainment",1,"Average",4,"A"
"Male","Yes",45,"No","Doctor",0,"Low",4,"A"
"Female","No",33,"Yes","Homemaker",11,"Low",NA,"B"
"Female","Yes",80,"Yes","Lawyer",NA,"High",2,"A"
"Male","Yes",77,"Yes","Executive",1,"Low",1,"B"
"Female","No",29,"No","Healthcare",NA,"Low",5,"B"
"Male","No",29,"No","Artist",1,"Low",3,"A"
"Female","No",20,"No","Healthcare",1,"Low",NA,"B"
"Female","No",18,"No","Healthcare",1,"Low",3,"B"
"Female","No",43,"Yes","Entertainment",1,"Low",4,"A"
"Male","No",31,"Yes","Entertainment",1,"Low",3,"B"
"Female","No",28,"Yes","Healthcare",NA,"Low",2,"B"
"Male","Yes",65,"Yes","Artist",1,"Low",2,"A"
"Male","No",31,"No","Entertainment",1,"Low",7,"B"
"Male","No",31,"No","Healthcare",NA,"Low",7,"B"
"Female","No",30,"Yes","Healthcare",1,"Low",2,"A"
"Male","No",29,"Yes","Engineer",0,"Low",4,"B"
"Male","Yes",88,"No","Lawyer",NA,"Low",1,"A"
"Male","No",30,"No","Engineer",1,"Low",4,"B"
"Male","No",41,"Yes","Artist",2,"Low",3,"A"
"Female","No",31,"Yes","Healthcare",9,"Low",7,"B"
"Male","No",20,"No","Healthcare",NA,"Low",5,"B"
"Female","Yes",26,"No","Marketing",7,"High",3,"A"
"Male","No",26,"No","Healthcare",NA,"Low",NA,"B"
"Male","No",20,"No","Healthcare",1,"Low",4,"B"
"Male","Yes",41,"Yes","Artist",4,"Low",4,"A"
"Male","No",20,"","Healthcare",4,"Low",5,"B"
"Male","Yes",88,"Yes","Executive",1,"Low",1,"B"
"Male","Yes",55,"No","Engineer",1,"High",4,"A"
"Male","No",32,"Yes","Healthcare",NA,"Low",NA,"B"
"Male","No",32,"Yes","Entertainment",1,"Low",2,"B"
"Female","Yes",38,"Yes","Artist",0,"Average",3,"A"
"Male","No",18,"No","Healthcare",1,"Low",5,"B"
"Male","Yes",67,"No","Executive",1,"High",2,"B"
"Female","No",45,"Yes","Engineer",0,"Low",1,"A"
"Male","Yes",46,"No","Doctor",0,"Average",3,"B"
"Male","No",20,"No","Healthcare",2,"Low",4,"B"
"Female","Yes",41,"Yes","Engineer",0,"High",3,"A"
"Female","Yes",35,"No","Engineer",7,"Average",4,"A"
"Female","Yes",52,"Yes","Artist",6,"Low",2,"A"
"Female","Yes",29,"Yes","Entertainment",0,"Average",2,"A"
"Female","No",37,"Yes","Doctor",1,"Low",1,"A"
"Female","No",50,"Yes","Artist",0,"Low",2,"A"
"Male","Yes",74,"Yes","Lawyer",1,"Low",1,"A"
"Male","Yes",37,"Yes","Engineer",1,"Average",3,"A"
"Female","No",19,"No","Healthcare",0,"Low",3,"B"
"Male","Yes",43,"Yes","Entertainment",0,"Average",2,"A"
"Male","No",35,"Yes","Artist",8,"Low",2,"B"
"Male","Yes",67,"Yes","Lawyer",0,"Low",1,"A"
"Female","No",32,"No","Homemaker",8,"Low",1,"B"
"Male","No",30,"Yes","Healthcare",8,"Low",5,"B"
"Male","No",32,"Yes","Entertainment",1,"Low",1,"A"
"Male","Yes",43,"No","Marketing",1,"Low",2,"B"
"Female","Yes",73,"No","Engineer",1,"Low",NA,"A"
"Male","No",22,"No","Healthcare",0,"Low",4,"B"
"Male","Yes",39,"Yes","",0,"Average",5,"A"
"Male","No",27,"Yes","Healthcare",NA,"Low",3,"B"
"Male","No",19,"No","Healthcare",0,"Low",4,"B"
"Female","No",22,"No","Doctor",1,"Low",3,"A"
"Male","No",39,"Yes","Artist",1,"Low",3,"A"
"Male","Yes",61,"Yes","Entertainment",1,"Low",2,"A"
"Male","No",29,"Yes","Artist",4,"Low",1,"B"
"Male","No",29,"Yes","Homemaker",5,"Low",1,"B"
"Male","No",36,"No","Executive",0,"Low",3,"B"
"Male","Yes",81,"Yes","Lawyer",1,"Low",1,"A"
"Male","Yes",41,"Yes","Entertainment",9,"Average",4,"A"
"Female","No",52,"Yes","Artist",6,"Low",1,"A"
"Male","No",19,"No","Healthcare",NA,"Low",4,"B"
"Female","No",19,"No","Marketing",1,"Low",4,"B"
"Male","No",23,"No","Healthcare",2,"Low",5,"B"
"Male","Yes",77,"No","Lawyer",0,"Low",2,"B"
"Male","Yes",47,"No","Entertainment",1,"High",4,"B"
"Male","No",29,"Yes","Entertainment",6,"Low",3,"A"
"Female","No",35,"Yes","Artist",8,"Low",3,"A"
"Male","No",35,"No","Healthcare",1,"Low",1,"B"
"Male","No",20,"No","Healthcare",0,"Low",3,"B"
"Male","No",43,"Yes","Entertainment",0,"Low",2,"A"
"Male","Yes",56,"No","Executive",0,"Low",1,"B"
"Female","Yes",53,"Yes","Artist",3,"Low",1,"A"
"Male","Yes",22,"No","Executive",1,"High",3,"B"
"Male","Yes",32,"No","Healthcare",1,"High",4,"B"
"Male","Yes",51,"No","Executive",2,"High",5,"A"
"Female","No",41,"No","Marketing",1,"Low",NA,"B"
"Male","Yes",37,"No","Doctor",2,"Average",4,"A"
"Male","Yes",55,"Yes","Artist",4,"Average",4,"A"
"Male","No",42,"Yes","Entertainment",3,"Low",2,"A"
"Male","No",20,"No","Healthcare",1,"Low",5,"B"
"Female","No",42,"Yes","Artist",12,"Low",2,"A"
"Female","No",52,"Yes","Engineer",3,"Low",1,"A"
"Female","Yes",48,"Yes","Marketing",9,"Low",1,"B"
"Female","No",25,"Yes","Marketing",5,"Low",2,"B"
"Female","No",56,"Yes","Doctor",3,"Low",1,"A"
"Female","Yes",68,"No","Lawyer",1,"Low",1,"B"
"Male","No",21,"No","Healthcare",0,"Low",4,"B"
"Female","",72,"No","Lawyer",8,"Average",2,"B"
"Male","No",41,"Yes","Entertainment",0,"Low",1,"B"
"Male","No",32,"Yes","Healthcare",8,"Low",2,"B"
"Male","Yes",57,"Yes","Homemaker",5,"High",2,"A"
"Male","Yes",74,"No","Lawyer",0,"High",2,"A"
"Male","No",38,"Yes","Entertainment",NA,"Low",4,"B"
"Female","No",50,"Yes","Artist",1,"Low",1,"B"
"Male","No",29,"Yes","Artist",0,"Low",1,"A"
"Female","Yes",82,"No","Lawyer",0,"Low",1,"A"
"Male","Yes",71,"No","Lawyer",0,"High",NA,"A"
"Male","No",19,"No","Healthcare",4,"Low",3,"B"
"Male","No",26,"Yes","Doctor",1,"Low",3,"B"
"Male","Yes",42,"Yes","Artist",0,"Average",2,"A"
"Male","Yes",35,"No","Healthcare",1,"Low",5,"B"
"Female","Yes",46,"No","Engineer",0,"High",3,"A"
"Female","No",35,"No","Artist",7,"Low",2,"B"
"Male","No",28,"No","Doctor",8,"Low",3,"A"
"Female","No",43,"No","Doctor",8,"Low",1,"B"
"Female","Yes",40,"No","Artist",3,"Average",NA,"A"
"Female","No",21,"No","Healthcare",8,"Low",4,"B"
"Female","No",32,"No","Doctor",1,"Low",3,"B"
"Female","No",36,"No","",NA,"Low",NA,"B"
"Male","No",32,"Yes","Artist",13,"Low",3,"A"
"Male","No",25,"No","Homemaker",14,"Low",3,"A"
"Female","No",40,"Yes","Artist",5,"Low",1,"A"
"Female","No",19,"No","Healthcare",0,"Low",3,"B"
"Male","No",27,"No","Healthcare",1,"Low",3,"B"
"Male","No",23,"No","Healthcare",9,"Low",4,"B"
"Male","No",30,"Yes","Entertainment",14,"Low",3,"B"
"Male","No",30,"Yes","Entertainment",8,"Low",4,"A"
"Male","No",30,"Yes","Healthcare",1,"Low",3,"B"
"Male","Yes",60,"Yes","Artist",0,"Low",2,"A"
"Female","No",19,"No","Healthcare",NA,"Low",NA,"B"
"Female","No",19,"No","Healthcare",0,"Low",2,"B"
"Male","Yes",40,"No","Executive",1,"Low",5,"B"
"Male","No",38,"Yes","Entertainment",8,"Low",1,"B"
"Male","Yes",50,"Yes","Entertainment",NA,"Low",4,"A"
"Male","No",21,"No","Healthcare",0,"Low",4,"B"
"Female","",29,"Yes","Entertainment",0,"High",1,"A"
"Male","No",28,"No","Doctor",NA,"Low",1,"B"
"Female","No",22,"No","Healthcare",0,"Low",3,"B"
"Male","No",35,"Yes","Artist",NA,"Low",1,"A"
"Female","Yes",26,"Yes","Healthcare",8,"Low",2,"B"
"Female","No",27,"No","Engineer",0,"Low",2,"B"
"Female","No",50,"No","Entertainment",8,"Low",2,"A"
"Female","Yes",37,"Yes","Homemaker",5,"Low",2,"B"
"Male","No",43,"Yes","Marketing",0,"Low",2,"A"
"Male","No",35,"Yes","Entertainment",13,"Low",1,"B"
"Male","No",31,"Yes","Artist",7,"Low",1,"A"
"Female","Yes",29,"No","Engineer",NA,"High",2,"B"
"Female","No",20,"No","Healthcare",0,"Low",2,"B"
"Male","Yes",37,"Yes","Healthcare",1,"Average",2,"A"
"Female","No",27,"Yes","Healthcare",2,"Low",6,"B"
"Female","Yes",43,"No","Doctor",9,"Low",1,"A"
"Male","No",23,"No","",0,"Low",8,"B"
"Female","Yes",65,"No","Lawyer",NA,"High",2,"A"
"Male","Yes",79,"No","Lawyer",0,"Low",1,"B"
"Female","Yes",28,"Yes","Healthcare",NA,"Low",2,"B"
"Male","No",20,"No","Healthcare",2,"Low",3,"B"
"Male","No",22,"No","Healthcare",0,"Low",4,"B"
"Female","No",32,"Yes","Doctor",5,"Low",3,"A"
"Female","No",33,"Yes","Healthcare",1,"Low",1,"B"
"Male","No",22,"No","Healthcare",NA,"Low",5,"B"
"Female","No",33,"No","Doctor",0,"Low",1,"B"
"Female","Yes",65,"Yes","Lawyer",2,"Low",6,"B"
"Female","Yes",43,"No","Engineer",4,"Average",7,"A"
"Male","Yes",75,"Yes","Lawyer",0,"Low",1,"A"
"Female","Yes",27,"No","Marketing",NA,"High",4,"B"
"Female","Yes",73,"Yes","Lawyer",NA,"Low",5,"B"
"Male","Yes",40,"No","Executive",5,"Low",4,"B"
"Female","Yes",86,"No","Lawyer",NA,"Low",1,"B"
"Male","No",32,"No","Entertainment",9,"Low",4,"A"
"Female","No",22,"No","Healthcare",5,"Low",3,"B"
"Female","Yes",69,"No","Doctor",0,"Low",1,"A"
"Female","No",39,"Yes","Entertainment",1,"Low",2,"A"
"Female","Yes",81,"No","Doctor",0,"High",2,"A"
"Female","No",28,"No","Healthcare",9,"Low",2,"B"
"Male","No",28,"Yes","Healthcare",6,"Low",5,"B"
"Female","Yes",37,"No","Artist",0,"Average",2,"B"
"Male","No",26,"No","Marketing",1,"Low",5,"B"
"Female","No",31,"No","Homemaker",8,"Low",1,"A"
"Male","Yes",37,"No","Entertainment",1,"Low",2,"A"
"Male","Yes",58,"Yes","Artist",1,"Low",1,"B"
"Male","No",33,"Yes","Artist",7,"Low",1,"A"
"Female","No",31,"No","Homemaker",8,"Low",1,"B"
"Male","No",25,"No","Healthcare",7,"Low",4,"B"
"Male","Yes",37,"No","Engineer",8,"Average",3,"B"
"Female","Yes",45,"No","Doctor",1,"Low",1,"A"
"Female","No",19,"No","Healthcare",0,"Low",4,"B"
"Female","No",32,"Yes","Healthcare",6,"Low",3,"B"
"Male","No",19,"No","Healthcare",13,"Low",3,"B"
"Female","No",39,"No","Entertainment",NA,"Low",6,"B"
"Male","No",21,"No","Healthcare",1,"Low",4,"B"
"Female","No",30,"No","Healthcare",0,"Low",NA,"B"
"Male","No",23,"No","Healthcare",0,"Low",6,"B"
"Male","No",31,"No","Executive",4,"Low",5,"B"
"Female","Yes",74,"Yes","Lawyer",NA,"Low",NA,"B"
"Female","No",19,"No","Healthcare",0,"Low",5,"B"
"Male","Yes",45,"No","Executive",3,"Low",9,"B"
"Female","No",28,"Yes","Entertainment",0,"Low",3,"B"
"Female","",40,"No","Engineer",1,"Low",4,"A"
"Female","No",30,"Yes","Doctor",8,"Low",NA,"B"
"Male","Yes",33,"Yes","Healthcare",0,"Low",2,"A"
"Male","Yes",83,"No","Lawyer",0,"Low",1,"B"
"Male","Yes",37,"Yes","Artist",6,"Average",2,"A"
"Male","Yes",50,"Yes","Healthcare",1,"Average",1,"B"
"Male","No",26,"Yes","Doctor",13,"Low",3,"B"
"Female","No",32,"Yes","Artist",7,"Low",3,"A"
"Female","No",31,"Yes","Marketing",0,"Low",1,"B"
"Female","No",31,"Yes","Doctor",0,"Low",4,"A"
"Male","Yes",47,"Yes","Artist",4,"Low",1,"A"
"Female","No",20,"","Healthcare",1,"Low",4,"B"
"Male","No",23,"No","Healthcare",1,"Low",4,"B"
"Female","No",29,"No","Engineer",9,"Low",4,"A"
"Female","No",33,"Yes","Engineer",10,"Low",1,"A"
"Male","No",21,"No","Healthcare",0,"Low",4,"B"
"Male","No",18,"No","Healthcare",8,"Low",4,"B"
"Male","Yes",81,"Yes","Lawyer",9,"Low",1,"B"
"Male","No",30,"Yes","Artist",9,"Low",2,"A"
"Male","Yes",53,"No","Lawyer",0,"Low",2,"B"
"Male","No",26,"Yes","Executive",9,"Low",4,"B"
"Female","Yes",51,"Yes","Engineer",0,"Low",1,"A"
"Female","No",38,"Yes","Doctor",0,"Low",1,"A"
"Female","No",21,"No","Healthcare",0,"Low",4,"B"
"Female","Yes",19,"No","Artist",NA,"High",2,"B"
"Male","No",33,"No","Entertainment",1,"Low",1,"B"
"Female","No",33,"No","Healthcare",8,"Low",3,"B"
"Female","No",33,"Yes","Engineer",0,"Low",3,"B"
"Male","Yes",49,"No","Engineer",1,"Average",8,"B"
"Female","No",39,"Yes","Artist",0,"Low",1,"A"
"Female","Yes",31,"No","Artist",0,"High",3,"A"
"Female","Yes",49,"Yes","Engineer",1,"Average",2,"A"
"Female","Yes",47,"No","Marketing",2,"Low",1,"B"
"Male","No",30,"Yes","Healthcare",1,"Low",4,"B"
"Male","No",41,"","Entertainment",6,"Low",1,"A"
"Female","Yes",33,"Yes","Doctor",0,"Low",2,"A"
"Male","No",27,"Yes","Healthcare",NA,"Low",1,"B"
"Male","Yes",45,"No","Doctor",8,"Low",2,"A"
"Female","No",35,"No","Marketing",NA,"Low",NA,"B"
"Female","No",21,"No","Entertainment",1,"Low",4,"B"
"Female","No",36,"Yes","Artist",9,"Low",2,"A"
"Female","Yes",56,"No","",0,"Low",1,"B"
"Female","Yes",89,"No","Lawyer",0,"High",2,"A"
"Male","No",23,"No","Healthcare",NA,"Low",3,"B"
"Female","No",18,"No","Healthcare",3,"Low",4,"B"
"Male","Yes",42,"No","Entertainment",9,"Average",3,"A"
"Male","No",22,"No","Healthcare",0,"Low",3,"B"
"Male","Yes",73,"No","Executive",0,"High",2,"B"
"Female","No",27,"No","Artist",NA,"Low",NA,"B"
"Male","",37,"Yes","Artist",1,"Average",3,"A"
"Male","Yes",83,"No","Lawyer",0,"High",3,"B"
"Male","Yes",51,"Yes","Doctor",NA,"Low",3,"A"
"Male","Yes",42,"No","Engineer",5,"Average",4,"A"
"Female","Yes",40,"Yes","Engineer",1,"Average",7,"A"
"Male","No",21,"No","Healthcare",NA,"Low",5,"B"
"Male","Yes",40,"Yes","Entertainment",1,"Average",2,"A"
"Male","No",27,"No","Healthcare",1,"Low",3,"A"
"Male","No",26,"No","Doctor",4,"Low",NA,"B"
"Male","No",33,"Yes","Entertainment",1,"Low",1,"A"
"Male","No",27,"Yes","Artist",0,"Low",1,"B"
"Female","Yes",46,"No","Entertainment",9,"Average",5,"B"
"Female","No",28,"No","Doctor",NA,"Low",5,"A"
"Female","No",25,"No","Healthcare",1,"Low",3,"A"
"Female","Yes",47,"Yes","Marketing",NA,"Average",3,"A"
"Female","No",21,"No","Healthcare",6,"Low",4,"B"
"Male","No",31,"Yes","Healthcare",NA,"Low",1,"B"
"Female","Yes",88,"Yes","Lawyer",1,"High",2,"A"
"Female","No",39,"No","",NA,"Low",1,"A"
"Male","Yes",41,"No","Entertainment",0,"Low",4,"A"
"Male","No",39,"Yes","Entertainment",9,"Low",2,"A"
"Female","Yes",89,"No","Lawyer",0,"High",2,"A"
"Male","Yes",45,"Yes","Doctor",0,"Low",1,"A"
"Female","No",53,"No","Entertainment",0,"Low",NA,"B"
"Female","",37,"No","Engineer",2,"Average",3,"B"
"Male","Yes",76,"Yes","Lawyer",1,"Low",1,"B"
"Female","Yes",27,"Yes","Homemaker",NA,"Average",2,"A"
"Male","Yes",41,"Yes","Artist",1,"Low",2,"A"
"Male","Yes",50,"Yes","Entertainment",3,"Low",2,"A"
"Male","Yes",28,"No","Entertainment",0,"Average",2,"A"
"Female","No",46,"Yes","Marketing",0,"Low",NA,"B"
"Female","Yes",72,"Yes","Doctor",1,"Average",2,"A"
"Female","Yes",41,"No","Doctor",NA,"Low",1,"A"
"Male","No",28,"No","Artist",0,"Low",2,"A"
"Female","No",32,"No","Healthcare",2,"Low",4,"B"
"Female","No",20,"No","Doctor",9,"Low",4,"A"
"Female","No",46,"Yes","Marketing",1,"Low",1,"B"
"Male","No",41,"Yes","Artist",9,"Low",2,"A"
"Female","",25,"Yes","Homemaker",NA,"Low",1,"B"
"Female","Yes",60,"No","Engineer",1,"High",9,"A"
"Male","No",37,"Yes","Engineer",9,"Low",1,"B"
"Male","No",18,"No","Healthcare",0,"Low",7,"B"
"Female","No",32,"No","Artist",2,"Low",4,"A"
"Male","Yes",74,"No","Lawyer",8,"Low",1,"A"
"Male","Yes",29,"Yes","Healthcare",1,"Average",2,"A"
"Male","No",22,"No","Healthcare",1,"Low",4,"B"
"Male","Yes",55,"Yes","Artist",1,"Average",2,"A"
"Male","No",22,"No","Healthcare",2,"Low",3,"B"
"Male","No",18,"No","Artist",NA,"Low",4,"B"
"Male","No",35,"Yes","Artist",NA,"Low",1,"A"
"Male","No",30,"Yes","Entertainment",NA,"Low",5,"B"
"Female","No",21,"Yes","Healthcare",0,"Low",5,"B"
"Male","No",18,"No","Healthcare",1,"Low",4,"B"
"Male","No",32,"Yes","Entertainment",9,"Low",2,"B"
"Female","No",36,"Yes","Healthcare",6,"Low",3,"B"
"Male","Yes",37,"No","Doctor",9,"Low",2,"B"
"Male","No",42,"Yes","Entertainment",1,"Low",1,"A"
"Male","Yes",35,"Yes","Doctor",1,"Low",NA,"B"
"Female","Yes",42,"Yes","Healthcare",9,"Average",2,"B"
"Female","No",33,"No","Homemaker",9,"Low",1,"B"
"Female","Yes",35,"No","Engineer",1,"High",2,"B"
"Male","Yes",53,"No","Entertainment",1,"Low",1,"A"
"Female","Yes",80,"No","Lawyer",1,"High",2,"B"
"Female","No",30,"No","Homemaker",8,"Low",9,"A"
"Female","No",23,"No","Healthcare",0,"Low",3,"B"
"Female","Yes",56,"Yes","Doctor",0,"Low",2,"B"
"Female","Yes",68,"Yes","Artist",1,"Low",2,"A"
"Male","No",29,"Yes","Artist",1,"Low",6,"A"
"Male","No",21,"No","Healthcare",1,"Low",4,"B"
"Female","No",19,"No","Engineer",1,"Low",4,"B"
"Female","Yes",41,"No","Healthcare",1,"Average",4,"B"
"Male","No",41,"Yes","Artist",4,"Low",1,"A"
"Male","Yes",35,"Yes","Executive",0,"High",4,"A"
"Male","No",26,"No","Healthcare",0,"Low",3,"B"
"Female","Yes",33,"Yes","Entertainment",3,"Average",3,"B"
"Male","No",40,"Yes","Entertainment",0,"Low",2,"A"
"Female","No",22,"No","Healthcare",0,"Low",4,"B"
"Male","Yes",73,"Yes","Lawyer",2,"Low",1,"B"
"Male","No",25,"Yes","Doctor",8,"Low",2,"B"
"Male","No",31,"Yes","Healthcare",9,"Low",3,"B"
"Male","No",21,"No","Doctor",0,"Low",NA,"B"
"Male","No",20,"No","Healthcare",0,"Low",4,"B"
"Male","No",25,"No","Executive",0,"Low",3,"A"
"Male","Yes",25,"Yes","Artist",8,"Low",2,"A"
"Male","No",28,"No","Doctor",1,"Low",5,"B"
"Female","Yes",32,"Yes","Artist",8,"Low",3,"A"
"Female","Yes",40,"Yes","Artist",0,"Average",3,"A"
"Female","No",37,"Yes","Doctor",0,"Low",3,"A"
"Male","No",27,"No","Healthcare",3,"Low",4,"B"
"Male","Yes",36,"No","Executive",7,"High",4,"A"
"Female","No",28,"Yes","Homemaker",11,"Low",1,"B"
"Male","No",18,"No","Entertainment",1,"Low",4,"B"
"Female","Yes",29,"No","Homemaker",NA,"High",3,"A"
"Female","No",38,"Yes","Engineer",NA,"Low",1,"B"
"Male","Yes",51,"Yes","Artist",8,"Low",3,"A"
"Male","No",31,"No","Artist",3,"Low",2,"A"
"Female","Yes",70,"No","Artist",NA,"High",2,"A"
"Male","No",29,"Yes","Healthcare",0,"Low",6,"B"
"Female","No",20,"No","Healthcare",0,"Low",NA,"B"
"Female","No",41,"Yes","Artist",1,"Low",NA,"A"
"Male","Yes",68,"No","Entertainment",4,"Average",2,"A"
"Male","No",32,"Yes","Doctor",0,"Low",4,"B"
"Male","Yes",75,"Yes","Lawyer",1,"Low",1,"A"
"Female","No",39,"Yes","Healthcare",0,"Low",1,"A"
"Male","No",18,"No","Healthcare",1,"Low",3,"B"
